2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - rich, matched with: rich[Bogle Vineyards]
2015-11-16 18:38:12.978 [main] DEBUG  - nashville, matched with: nashville[Clothing]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - pittsburgh, matched with: pittsburgh[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - pittsburgh, matched with: pittsburgh[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.978 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - travel, matched with: travel[Travel]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:12.993 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:12.993 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - travel, matched with: travel[Clothing]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:12.993 [main] DEBUG  - healthy, matched with: healthy[Clothing]
2015-11-16 18:38:12.993 [main] DEBUG  - healthy, matched with: healthy[Clothing]
2015-11-16 18:38:12.993 [main] DEBUG  - healthy, matched with: healthy[Clothing]
2015-11-16 18:38:12.993 [main] DEBUG  - healthy, matched with: healthy[Clothing]
2015-11-16 18:38:13.009 [main] DEBUG  - texas, matched with: texas[Clothing]
2015-11-16 18:38:13.009 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.009 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.009 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - texas, matched with: texas[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.009 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.009 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.009 [main] DEBUG  - luxury, matched with: luxury[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - college, matched with: college[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - college, matched with: college[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - college, matched with: college[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - college, matched with: college[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - college, matched with: college[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - college, matched with: college[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - college, matched with: college[Clothing]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - texas, matched with: texas[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.025 [main] DEBUG  - sports, matched with: sports[Newspaper]
